,ID Pedido,Data Pedido,ID Loja,Produto,Marca,Quantidade,Preço Unitário,Preço Total ,Formas de Pagamento,Status de Pagemnto
0,2554,2021-01-01,3,OnePlus 9 Pro,OnePlus,1,2127.41,2127.41,Pix,Concluído
1,2707,2021-01-01,1,Apple Watch Series 7,Apple,4,5163.84,20655.36,Pix,Concluído
2,3309,2021-01-01,5,Nintendo Switch OLED,Nintendo,3,9851.29,29553.87,Débito,Concluído
3,3376,2021-01-01,1,Samsung QN90A Neo QLED TV,Samsung,4,2819.41,11277.64,Crédito,Concluído
4,3635,2021-01-01,1,iPhone 12 mini (64GB),Apple,2,3384.15,6768.3,Débito,Concluído
5,3707,2021-01-01,2,Google Pixel 6 Pro,Google,1,5238.58,5238.58,Crédito,Concluído
6,3745,2021-01-01,2,Sony WH-1000XM4,Sony,2,7756.5,15513.0,Pix,Concluído
7,4009,2021-01-01,1,Apple Watch Series 7,Apple,1,5343.45,5343.45,Pix,Concluído
8,4343,2021-01-01,3,iPhone 11 Pro (256GB),Apple,2,6473.61,12947.22,Débito,Concluído
9,4370,2021-01-01,1,Sony WH-1000XM4,Sony,5,9384.07,46920.35,Pix,Concluído
10,4623,2021-01-01,3,Apple AirPods Pro,Apple,2,9592.75,19185.5,Pix,Concluído
11,5718,2021-01-01,5,Apple Watch Series 7,Apple,1,8247.03,8247.03,Débito,Concluído
12,5780,2021-01-01,5,iPhone 12 Pro (256GB),Apple,2,8503.23,17006.46,Crédito,Concluído
13,5798,2021-01-01,5,Apple MacBook Pro 16,Apple,4,7683.31,30733.24,Débito,Concluído
14,6711,2021-01-01,3,iPhone 13 mini (128GB),Apple,2,7914.19,15828.38,Pix,Concluído
15,7682,2021-01-01,4,Xbox Series X,Microsoft,3,2785.03,8355.09,Pix,Concluído
16,8808,2021-01-01,4,iPhone 11 Pro Max (512GB),Apple,1,4356.92,4356.92,Pix,Concluído
17,8845,2021-01-01,5,iPhone SE (2020),Apple,5,1645.17,8225.85,Pix,Concluído
18,8900,2021-01-01,5,Razer Blade 15,Razer,1,6468.73,6468.73,Crédito,Concluído
19,9019,2021-01-01,4,iPhone 13 (128GB),Apple,2,9684.84,19369.68,Crédito,Concluído
20,9040,2021-01-01,2,Sony A90J OLED TV,Sony,3,3800.11,11400.33,Débito,Concluído
21,9221,2021-01-01,5,Nintendo Switch OLED,Nintendo,3,5416.58,16249.74,Crédito,Concluído
22,9265,2021-01-01,1,PlayStation 5,Sony,5,9874.21,49371.05,Crédito,Concluído
23,9503,2021-01-01,4,PlayStation 5,Sony,4,4113.88,16455.52,Débito,Concluído
24,9684,2021-01-01,4,Microsoft Surface Laptop 4,Microsoft,2,6442.99,12885.98,Pix,Concluído
25,10563,2021-01-01,3,Garmin Fenix 7,Garmin,3,6637.46,19912.38,Débito,Concluído
26,10764,2021-01-01,2,OnePlus 9 Pro,OnePlus,5,1301.19,6505.95,Crédito,Concluído
27,11199,2021-01-01,1,Jabra Elite 85t,Jabra,4,4249.18,16996.72,Débito,Concluído
28,11613,2021-01-01,3,Fitbit Charge 5,Fitbit,3,9471.7,28415.1,Crédito,Concluído
29,11707,2021-01-01,4,Samsung Galaxy S21 Ultra,Samsung,1,1163.35,1163.35,Débito,Concluído
30,11983,2021-01-01,3,Apple MacBook Pro 16,Apple,4,8526.27,34105.08,Pix,Concluído
31,151,2021-01-02,5,iPhone 11 Pro (256GB),Apple,4,2572.45,10289.8,Débito,Concluído
32,597,2021-01-02,4,iPhone SE (2020),Apple,1,8062.49,8062.49,Débito,Concluído
33,633,2021-01-02,1,Alienware x17,Alienware,5,2688.97,13444.85,Pix,Concluído
34,678,2021-01-02,5,Samsung Galaxy Watch 4,Samsung,1,5736.33,5736.33,Débito,Concluído
35,943,2021-01-02,2,iPhone 12 Pro Max (512GB),Apple,2,7934.81,15869.62,Pix,Concluído
36,1176,2021-01-02,1,iPhone 11 Pro Max (512GB),Apple,5,2884.46,14422.3,Débito,Concluído
37,2106,2021-01-02,1,Sony A90J OLED TV,Sony,5,6810.07,34050.35,Crédito,Concluído
38,3242,2021-01-02,1,PlayStation 5,Sony,2,9627.16,19254.32,Débito,Concluído
39,3690,2021-01-02,3,Google Nest Audio,Google,5,9670.68,48353.4,Pix,Concluído
40,4487,2021-01-02,3,Fitbit Charge 5,Fitbit,3,5732.5,17197.5,Débito,Concluído
41,4823,2021-01-02,2,Sony A90J OLED TV,Sony,5,7098.59,35492.95,Pix,Concluído
42,5609,2021-01-02,3,Jabra Elite 85t,Jabra,2,2268.92,4537.84,Crédito,Concluído
43,6271,2021-01-02,1,Microsoft Surface Laptop 4,Microsoft,2,5924.95,11849.9,Débito,Concluído
44,6933,2021-01-02,4,Alienware x17,Alienware,4,5570.72,22282.88,Pix,Concluído
45,7838,2021-01-02,3,Jabra Elite 85t,Jabra,1,8784.15,8784.15,Débito,Concluído
46,8073,2021-01-02,5,Garmin Fenix 7,Garmin,5,1260.79,6303.95,Pix,Concluído
47,8502,2021-01-02,1,Sennheiser Momentum 3,Sennheiser,1,5141.05,5141.05,Pix,Concluído
48,8520,2021-01-02,3,HP Spectre x360,HP,4,4511.43,18045.72,Débito,Concluído
49,8784,2021-01-02,5,Sony WH-1000XM4,Sony,1,2274.48,2274.48,Pix,Concluído
50,8791,2021-01-02,5,iPhone 12 mini (64GB),Apple,5,8116.96,40584.8,Crédito,Concluído
51,8887,2021-01-02,2,Lenovo ThinkPad X1 Carbon,Lenovo,2,2775.26,5550.52,Débito,Concluído
52,9017,2021-01-02,5,LG C1 OLED TV,LG,4,8683.97,34735.88,Pix,Concluído
53,9060,2021-01-02,2,Amazon Echo Dot (4th Gen),Amazon,4,6400.01,25600.04,Crédito,Concluído
54,9980,2021-01-02,3,iPhone 13 Pro Max (512GB),Apple,3,9940.62,29821.86,Débito,Concluído
55,10098,2021-01-02,3,iPhone 12 Pro (256GB),Apple,3,1290.79,3872.37,Débito,Concluído
56,10313,2021-01-02,3,LG OLED C1 TV,LG,2,6715.72,13431.44,Crédito,Concluído
57,10339,2021-01-02,1,LG C1 OLED TV,LG,5,1952.01,9760.05,Pix,Concluído
58,10478,2021-01-02,5,LG OLED C1 TV,LG,2,6887.52,13775.04,Pix,Concluído
59,10849,2021-01-02,4,iPhone 11 (128GB),Apple,3,8142.74,24428.22,Débito,Concluído
60,11069,2021-01-02,1,iPhone 13 (128GB),Apple,3,8547.27,25641.81,Crédito,Concluído
61,11409,2021-01-02,2,Sony Xperia 1 III,Sony,2,9866.04,19732.08,Crédito,Concluído
62,903,2021-01-03,1,Xiaomi Mi 11 Ultra,Xiaomi,3,8455.3,25365.9,Pix,Concluído
63,941,2021-01-03,4,Apple AirPods Pro,Apple,2,9732.14,19464.28,Débito,Concluído
64,1144,2021-01-03,5,Samsung Galaxy S21 Ultra,Samsung,2,7165.61,14331.22,Débito,Concluído
65,1419,2021-01-03,5,iPhone 11 (128GB),Apple,4,9471.67,37886.68,Crédito,Concluído
66,1504,2021-01-03,4,Apple Watch Series 7,Apple,2,1645.67,3291.34,Débito,Concluído
67,1844,2021-01-03,4,Apple Watch Series 7,Apple,2,9273.23,18546.46,Pix,Concluído
68,2264,2021-01-03,2,iPhone SE (2020),Apple,3,5514.18,16542.54,Crédito,Concluído
69,2347,2021-01-03,4,iPhone 12 Pro Max (512GB),Apple,3,3555.94,10667.82,Débito,Concluído
70,2487,2021-01-03,3,iPhone 11 Pro (256GB),Apple,4,1951.1,7804.4,Pix,Concluído
71,2723,2021-01-03,3,Microsoft Surface Laptop 4,Microsoft,3,4643.72,13931.16,Débito,Concluído
72,2849,2021-01-03,5,Nintendo Switch OLED,Nintendo,3,6765.59,20296.77,Débito,Concluído
73,3073,2021-01-03,3,iPhone 11 (128GB),Apple,5,2584.27,12921.35,Débito,Concluído
74,3132,2021-01-03,5,iPhone 13 (128GB),Apple,4,4816.43,19265.72,Pix,Concluído
75,3158,2021-01-03,1,Google Pixel 6 Pro,Google,1,5519.41,5519.41,Crédito,Concluído
76,3336,2021-01-03,5,LG OLED C1 TV,LG,1,8126.25,8126.25,Pix,Concluído
77,4853,2021-01-03,5,iPhone 12 mini (64GB),Apple,1,5123.81,5123.81,Débito,Concluído
78,4862,2021-01-03,3,Apple AirPods Pro,Apple,2,5111.54,10223.08,Pix,Concluído
79,4985,2021-01-03,5,Lenovo ThinkPad X1 Carbon,Lenovo,5,9550.09,47750.45,Pix,Concluído
80,5148,2021-01-03,2,iPhone 12 mini (64GB),Apple,2,8115.19,16230.38,Crédito,Concluído
81,5731,2021-01-03,3,Sony Xperia 1 III,Sony,2,5479.05,10958.1,Pix,Concluído
82,5789,2021-01-03,4,PlayStation 5,Sony,5,3557.97,17789.85,Débito,Concluído
83,5892,2021-01-03,5,Xiaomi Mi 11 Ultra,Xiaomi,3,6750.85,20252.55,Pix,Concluído
84,5998,2021-01-03,4,Lenovo ThinkPad X1 Carbon,Lenovo,5,6089.52,30447.6,Débito,Concluído
85,6301,2021-01-03,3,Samsung Galaxy S21 Ultra,Samsung,1,4281.05,4281.05,Débito,Concluído
86,6487,2021-01-03,3,iPhone 13 (128GB),Apple,2,3360.71,6721.42,Crédito,Concluído
87,7398,2021-01-03,1,iPhone 11 Pro Max (512GB),Apple,5,3059.16,15295.8,Pix,Concluído
88,7609,2021-01-03,4,Apple MacBook Pro 16,Apple,4,6486.54,25946.16,Débito,Concluído
89,7742,2021-01-03,4,iPhone 12 (128GB),Apple,3,9107.55,27322.65,Débito,Concluído
90,8095,2021-01-03,5,Dell XPS 17,Dell,3,3252.26,9756.78,Débito,Concluído
91,8970,2021-01-03,4,Microsoft Surface Laptop 4,Microsoft,4,2967.56,11870.24,Débito,Concluído
92,9096,2021-01-03,1,Sony WH-1000XM4,Sony,1,4134.88,4134.88,Crédito,Concluído
93,9514,2021-01-03,5,Xiaomi Mi 11 Ultra,Xiaomi,2,4589.44,9178.88,Débito,Concluído
94,9601,2021-01-03,2,iPhone 13 mini (128GB),Apple,4,9689.71,38758.84,Débito,Concluído
95,9802,2021-01-03,4,Sony Xperia 1 III,Sony,5,1390.18,6950.9,Débito,Concluído
96,10257,2021-01-03,5,Bose QuietComfort 45,Bose,1,6295.78,6295.78,Crédito,Concluído
97,10668,2021-01-03,4,iPhone 12 mini (64GB),Apple,3,5662.28,16986.84,Pix,Concluído
98,10757,2021-01-03,5,Sony Xperia 1 III,Sony,4,9518.79,38075.16,Pix,Concluído
99,11471,2021-01-03,2,iPhone 13 Pro Max (512GB),Apple,1,7541.26,7541.26,Crédito,Concluído
100,11666,2021-01-03,5,Xiaomi Mi 11 Ultra,Xiaomi,4,1485.86,5943.44,Pix,Concluído
101,11837,2021-01-03,2,PlayStation 5,Sony,3,7548.21,22644.63,Pix,Concluído
102,87,2021-01-04,1,iPhone 11 Pro Max (512GB),Apple,2,6728.47,13456.94,Débito,Concluído
103,738,2021-01-04,5,Sony Xperia 1 III,Sony,2,7471.83,14943.66,Débito,Concluído
104,1252,2021-01-04,4,LG C1 OLED TV,LG,1,7780.8,7780.8,Crédito,Concluído
105,1253,2021-01-04,2,HP Spectre x360,HP,2,3942.97,7885.94,Crédito,Concluído
106,1326,2021-01-04,3,Sennheiser Momentum 3,Sennheiser,5,3631.09,18155.45,Débito,Concluído
107,1403,2021-01-04,3,Apple Watch Series 7,Apple,1,9011.43,9011.43,Pix,Concluído
108,1598,2021-01-04,2,Samsung QN90A Neo QLED TV,Samsung,5,1287.54,6437.7,Crédito,Concluído
109,2230,2021-01-04,1,iPhone 12 mini (64GB),Apple,2,2540.24,5080.48,Pix,Concluído
110,2638,2021-01-04,4,OnePlus 9 Pro,OnePlus,5,4547.64,22738.2,Crédito,Concluído
111,2800,2021-01-04,3,iPhone 12 Pro Max (512GB),Apple,5,1242.63,6213.15,Pix,Concluído
112,2996,2021-01-04,1,iPhone 13 (128GB),Apple,5,4806.1,24030.5,Pix,Concluído
113,3100,2021-01-04,3,Xbox Series X,Microsoft,5,5086.8,25434.0,Pix,Concluído
114,3234,2021-01-04,5,Jabra Elite 85t,Jabra,5,2669.11,13345.55,Crédito,Concluído
115,3520,2021-01-04,1,Dell XPS 17,Dell,5,3685.98,18429.9,Crédito,Concluído
116,3983,2021-01-04,4,iPhone 13 Pro Max (512GB),Apple,3,9280.16,27840.48,Crédito,Concluído
117,4353,2021-01-04,3,Asus ROG Strix G15,Asus,1,7936.31,7936.31,Débito,Concluído
118,5089,2021-01-04,4,iPhone 11 (128GB),Apple,5,6322.41,31612.05,Débito,Concluído
119,5131,2021-01-04,4,HP Spectre x360,HP,2,2670.59,5341.18,Pix,Concluído
120,6087,2021-01-04,4,Asus ROG Strix G15,Asus,5,1852.98,9264.9,Débito,Concluído
121,6513,2021-01-04,4,Fitbit Charge 5,Fitbit,2,6794.57,13589.14,Crédito,Concluído
122,6630,2021-01-04,5,Alienware x17,Alienware,2,9733.35,19466.7,Pix,Concluído
123,7291,2021-01-04,5,iPhone 13 (128GB),Apple,1,2508.82,2508.82,Crédito,Concluído
124,8141,2021-01-04,4,Samsung Galaxy Watch 4,Samsung,1,7267.65,7267.65,Débito,Concluído
125,8142,2021-01-04,4,Asus ROG Strix G15,Asus,5,4751.31,23756.55,Pix,Concluído
126,8807,2021-01-04,3,Google Nest Audio,Google,3,9236.0,27708.0,Pix,Concluído
127,8833,2021-01-04,3,iPhone 13 Pro Max (512GB),Apple,5,4753.73,23768.65,Débito,Concluído
128,8866,2021-01-04,2,iPhone 12 (128GB),Apple,3,5370.47,16111.41,Débito,Concluído
129,9209,2021-01-04,3,Fitbit Charge 5,Fitbit,1,7638.06,7638.06,Crédito,Concluído
130,10139,2021-01-04,3,Acer Predator Helios 300,Acer,4,7102.78,28411.12,Crédito,Concluído
131,10964,2021-01-04,3,iPhone 12 (128GB),Apple,4,2897.06,11588.24,Débito,Concluído
132,11451,2021-01-04,2,Alienware x17,Alienware,4,8615.63,34462.52,Débito,Concluído
133,11730,2021-01-04,5,Bose QuietComfort 45,Bose,1,3878.46,3878.46,Débito,Concluído
134,11776,2021-01-04,2,Samsung Galaxy S21 Ultra,Samsung,3,7977.82,23933.46,Crédito,Concluído
135,436,2021-01-05,2,Samsung QN90A Neo QLED TV,Samsung,1,6604.44,6604.44,Débito,Concluído
136,651,2021-01-05,4,Acer Predator Helios 300,Acer,1,3914.06,3914.06,Pix,Concluído
137,700,2021-01-05,1,Sony WH-1000XM4,Sony,2,3122.41,6244.82,Pix,Concluído
138,1334,2021-01-05,5,Fitbit Charge 5,Fitbit,2,2104.89,4209.78,Débito,Concluído
139,1439,2021-01-05,5,OnePlus 9 Pro,OnePlus,1,6171.84,6171.84,Pix,Concluído
140,1667,2021-01-05,2,Sony Xperia 1 III,Sony,2,6364.12,12728.24,Pix,Concluído
141,2273,2021-01-05,2,Asus ROG Strix G15,Asus,3,2249.32,6747.96,Débito,Concluído
142,2361,2021-01-05,1,iPhone 12 (128GB),Apple,5,3912.63,19563.15,Pix,Concluído
143,4024,2021-01-05,2,iPhone 11 Pro Max (512GB),Apple,5,2786.41,13932.05,Pix,Concluído
144,4079,2021-01-05,5,iPhone 11 Pro Max (512GB),Apple,5,9936.96,49684.8,Pix,Concluído
145,4466,2021-01-05,3,Amazon Echo Dot (4th Gen),Amazon,5,8391.72,41958.6,Débito,Concluído
146,4607,2021-01-05,3,Sony A90J OLED TV,Sony,1,6571.87,6571.87,Crédito,Concluído
147,4867,2021-01-05,2,Nintendo Switch OLED,Nintendo,4,3589.58,14358.32,Crédito,Concluído
148,5171,2021-01-05,4,iPhone 12 (128GB),Apple,4,6178.17,24712.68,Pix,Concluído
149,5747,2021-01-05,1,iPhone 12 Pro (256GB),Apple,1,9019.71,9019.71,Pix,Concluído
150,5887,2021-01-05,4,iPhone 12 mini (64GB),Apple,5,9059.63,45298.15,Crédito,Concluído
151,6207,2021-01-05,2,iPhone 13 (128GB),Apple,1,8952.72,8952.72,Crédito,Concluído
152,6420,2021-01-05,5,Nintendo Switch OLED,Nintendo,1,4713.4,4713.4,Pix,Concluído
153,6470,2021-01-05,5,LG C1 OLED TV,LG,1,9672.39,9672.39,Pix,Concluído
154,6851,2021-01-05,3,Jabra Elite 85t,Jabra,2,1939.31,3878.62,Crédito,Concluído
155,7232,2021-01-05,4,Samsung Galaxy Watch 4,Samsung,1,8848.86,8848.86,Débito,Concluído
156,7940,2021-01-05,1,OnePlus 9 Pro,OnePlus,3,3167.12,9501.36,Débito,Concluído
157,8283,2021-01-05,4,Bose QuietComfort 45,Bose,1,5357.14,5357.14,Pix,Concluído
158,8403,2021-01-05,1,LG OLED C1 TV,LG,1,4659.65,4659.65,Pix,Concluído
159,8911,2021-01-05,2,Jabra Elite 85t,Jabra,3,7055.64,21166.92,Débito,Concluído
160,10343,2021-01-05,4,Sony Xperia 1 III,Sony,3,4629.91,13889.73,Pix,Concluído
161,10794,2021-01-05,2,Nintendo Switch OLED,Nintendo,2,6860.37,13720.74,Débito,Concluído
162,11466,2021-01-05,5,HP Spectre x360,HP,4,3361.57,13446.28,Débito,Concluído
163,11576,2021-01-05,3,Dell XPS 17,Dell,3,6850.08,20550.24,Crédito,Concluído
164,1615,2021-01-06,5,PlayStation 5,Sony,3,3995.12,11985.36,Pix,Concluído
165,1913,2021-01-06,1,iPhone 13 Pro Max (512GB),Apple,3,5615.16,16845.48,Pix,Concluído
166,2194,2021-01-06,5,LG OLED C1 TV,LG,4,4562.89,18251.56,Débito,Concluído
167,2367,2021-01-06,5,iPhone 13 Pro Max (512GB),Apple,3,7692.43,23077.29,Crédito,Concluído
